DistrictId,SourceUrl,SourceFile,FiscalYear,FteType,GradeLevel,Fte
1,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,188.44000244140625
2,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,21.170000076293945
3,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,220.44000244140625
4,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,22.959999084472656
5,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,419.45001220703125
6,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,2174.199951171875
7,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,40.09000015258789
8,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,111.80000305175781
9,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,66.7699966430664
10,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,313.9100036621094
11,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,266.7200012207031
12,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,102.12999725341797
13,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,1642.81005859375
14,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,61.5
15,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,37.630001068115234
16,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,774.2100219726562
17,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,268.3900146484375
18,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,48.08000183105469
19,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,14
20,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,44.779998779296875
21,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,55.150001525878906
22,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,3
23,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,16.510000228881836
24,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,13.670000076293945
25,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,29.950000762939453
26,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,37.9900016784668
27,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,209.8800048828125
28,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,110.55000305175781
29,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,1438.199951171875
30,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,17.639999389648438
31,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,79.26000213623047
32,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,30.969999313354492
33,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,42.54999923706055
34,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,16.540000915527344
35,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,210.91000366210938
36,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,654.3400268554688
37,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,748.3599853515625
38,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,32.619998931884766
39,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,10.449999809265137
40,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,70.25
41,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,470.9800109863281
42,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,192.36000061035156
43,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,65.61000061035156
44,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,60.849998474121094
45,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,70.5199966430664
46,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,237.8300018310547
47,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,34.5099983215332
48,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,778.6199951171875
49,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,316.010009765625
50,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,1060.9300537109375
51,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,445.4100036621094
52,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,917.8699951171875
53,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,520.3900146484375
54,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,118.48999786376953
55,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,203.94000244140625
56,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,116.06999969482422
57,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,215.30999755859375
58,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,289.07000732421875
59,https://www.fldoe.org/file/7507/0075828-cofte1314.xls,0075828-cofte1314.xls,2013-14,Capital Outlay FTE,-1,372.3699951171875
