DistrictId,Program,Fte,FiscalYear,CalculationPeriod,SourceFile,SourceUrl,FteType
1,101,6216.57,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
2,101,1516.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
3,101,6370.93,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
4,101,846.35,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
5,101,16970.95,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
6,101,57728.03,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
7,101,531.55,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
8,101,3761.8,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
9,101,3747.13,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
10,101,8114.67,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
11,101,8993.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
12,101,2825.12,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
13,101,76490.38,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
14,101,1069.66,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
15,101,565.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
16,101,34540.77,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
17,101,10413.3,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
18,101,3183.59,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
19,101,365.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
20,101,1692.89,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
21,101,606.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
22,101,432.49,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
23,101,502.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
24,101,510.31,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
25,101,1350.39,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
26,101,1848.51,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
27,101,5755.13,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
28,101,3189.02,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
29,101,41380.8,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
30,101,885.63,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
31,101,4106.57,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
32,101,1877.88,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
33,101,328.18,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
34,101,322.13,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
35,101,10156.71,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
36,101,19544.14,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
37,101,8254.27,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
38,101,1449.35,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
39,101,394.04,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
40,101,663.71,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
41,101,9731.11,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
42,101,10301.11,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
43,101,3511.84,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
44,101,1739.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
45,101,2720.2,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
46,101,7003.87,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
47,101,1561.17,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
48,101,34474.46,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
49,101,10797.83,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
50,101,33033.32,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
51,101,16279.31,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
52,101,23718.81,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
53,101,24234.65,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
54,101,2867.94,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
55,101,6885.03,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
56,101,10077.61,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
57,101,6004.45,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
58,101,9193.95,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
59,101,14831.73,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
60,101,1855.43,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
61,101,1595.79,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
62,101,860.93,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
63,101,601.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
64,101,14884.8,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
65,101,1332.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
66,101,1957.12,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
67,101,931.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
68,101,0.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
69,101,96.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
70,101,189.58,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
71,101,0.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
72,101,333.81,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
73,101,273.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
74,101,186.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
75,101,0.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
99,101,603566.3,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
1,102,5845.25,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
2,102,1572.37,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
3,102,7575.91,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
4,102,892.44,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
5,102,20057.52,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
6,102,74547.34,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
7,102,590.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
8,102,4962.95,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
9,102,4647.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
10,102,10466.16,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
11,102,10778.27,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
12,102,3001.33,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
13,102,90871.28,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
14,102,1358.97,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
15,102,554.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
16,102,35913.4,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
17,102,11976.46,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
18,102,4009.78,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
19,102,357.24,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
20,102,1771.87,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
21,102,695.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
22,102,451.77,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
23,102,582.13,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
24,102,585.08,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
25,102,1435.12,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
26,102,2079.12,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
27,102,6813.07,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
28,102,3679.23,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
29,102,52929.02,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
30,102,1128.59,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
31,102,5111.69,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
32,102,2135.87,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
33,102,303.55,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
34,102,346.31,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
35,102,11870.59,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
36,102,21342.87,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
37,102,9231.94,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
38,102,1577.71,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
39,102,414.57,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
40,102,753.79,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
41,102,11200.83,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
42,102,12348.69,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
43,102,4738.71,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
44,102,2115.32,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
45,102,3429.77,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
46,102,8498.78,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
47,102,1904.95,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
48,102,42157.03,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
49,102,14486.38,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
50,102,45411.21,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
51,102,18817.08,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
52,102,28484.3,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
53,102,26459.78,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
54,102,3313.93,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
55,102,8353.74,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
56,102,12289.55,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
57,102,7521.71,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
58,102,10421.15,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
59,102,18849.49,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
60,102,2335.04,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
61,102,1879.14,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
62,102,909.16,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
63,102,689.53,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
64,102,17926.98,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
65,102,1490.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
66,102,2072.53,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
67,102,1102.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
68,102,46.18,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
69,102,137.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
70,102,301.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
71,102,0.0,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
72,102,160.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
73,102,589.5,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
74,102,290.51,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
75,102,1303.61,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
99,102,727253.14,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
1,103,6374.13,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
2,103,946.85,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
3,103,5622.22,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
4,103,630.47,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
5,103,15685.7,2007-08,Final Calculation,2007-08FinalFTEx.xls,https://www.fldoe.org/core/fileparse.php/7508/urlt/2007-08FinalFTEx.xls,Unweighted FTE
